"rodadas","appetency","churn","upselling"
20,0.828773516915706,0.723288853465811,0.86808454833734
22,0.828803259822595,0.722580765431857,0.868627691750898
24,0.83132454316039,0.723236594918636,0.868930096338616
26,0.835418768689413,0.722693533875763,0.868959448164138
28,0.835054990059005,0.722218317262557,0.869734982636645
30,0.834357175705079,0.721194844312314,0.870247158527863
32,0.834121520365883,0.722212205151776,0.870476048910374
34,0.833659361351152,0.72125015891488,0.870496245120596
36,0.836948240478266,0.721950606810358,0.870438080035158
38,0.837304011402973,0.721437189504772,0.870202996148179
40,0.837243381631238,0.720945775797997,0.870228578014459
42,0.837222790388008,0.722126635600845,0.870203534713785
44,0.83604565764999,0.722412376779847,0.870437810752355
46,0.834627149782991,0.723666581912064,0.870754487328628
48,0.834926866767793,0.724403396866688,0.871150333048971
50,0.836548999151183,0.725374305664215,0.871900016372394
52,0.83621267551175,0.725103844762165,0.871898131392774
54,0.835944989349751,0.725110568084024,0.87222961852321
56,0.835354707043807,0.725599842552026,0.872283744366604
58,0.835808858352838,0.72736715938429,0.872335177381968
60,0.835369578497251,0.727667264023627,0.872627887788779
62,0.836313343811988,0.727928556759506,0.872169299175348
64,0.834762136821948,0.728109475238617,0.872244159794569
66,0.833570132630486,0.728200240083711,0.872265971701609
68,0.83312627694307,0.728892742235174,0.872128906754905
70,0.832968410744968,0.730005452002816,0.871915904057769
72,0.834852509500571,0.730515507647473,0.871579300554076
74,0.834624861867077,0.731985164684713,0.871767259950538
76,0.833920183765406,0.732891896319042,0.871440889193358
78,0.833615890948776,0.73358623210374,0.871388109763979
80,0.83397280583144,0.733441986289313,0.87156233573749
82,0.83401055644403,0.733622293557346,0.871844274832183
84,0.834534489188453,0.734512522492568,0.872051084024852
86,0.835771107740248,0.734745088307777,0.871957642892227
88,0.835986171836213,0.735025328587076,0.871743832346681
90,0.835512573241908,0.735220916132061,0.871244043464399
92,0.834408653813155,0.735812568455641,0.871594380391042
94,0.83521972000485,0.735884691362854,0.871601381743919
96,0.834846789710785,0.73633454271632,0.871524366862274
98,0.833844682540227,0.737228744523549,0.871599227481495
100,0.834674052059239,0.737148064661242,0.871866356022025
102,0.83451504190318,0.737319814974182,0.87167166455549
104,0.835092740671595,0.737148064661242,0.871727675378504
106,0.834854797416485,0.73720918576905,0.871267201785453
108,0.835653280070651,0.73739682757002,0.870914710596386
110,0.836259577787997,0.73795364086215,0.871547525183328
112,0.83660047725926,0.737528849162885,0.871607305965584
114,0.836115439085383,0.738215850414646,0.871634503528682
116,0.836357958172321,0.738451166679706,0.872005575231152
118,0.836804101775652,0.738314866609294,0.872133753845358
120,0.836854435925771,0.738251911868252,0.872128368189299
122,0.835882071662102,0.738553238929745,0.872096592818551
124,0.836451762724816,0.739069101079643,0.871867163870434
126,0.836010194953315,0.739439494992959,0.871548871597343
128,0.836209243637878,0.739363093608199,0.871763220708494
130,0.836117727001297,0.739195621772806,0.871928560349507
132,0.835683022977539,0.739113719488343,0.871735215296987
134,0.835273486028841,0.739230460804256,0.871490706511904
136,0.835440503890601,0.739588019284932,0.871562874303096
138,0.835248318953782,0.739727375410734,0.871647429103224
140,0.834767856611734,0.73976038080895,0.871754065093193
142,0.834722098293444,0.740201063996245,0.871693745745332
144,0.834509322113394,0.740297024135503,0.871500400692811
146,0.834095209332867,0.74021206579565,0.871223039405768
148,0.83391446397562,0.740589794241903,0.871102400710045
150,0.833887008984646,0.74036486856517,0.871238119242734
152,0.833587291999844,0.740468774448443,0.871269625330679
154,0.833881289194859,0.740534174033798,0.871298438590595
156,0.833963654167782,0.740447993271788,0.871348525191945
158,0.833515222648537,0.74016439133156,0.871294130065748
160,0.833414554348299,0.740234680605539,0.87105823833036
162,0.833032472390575,0.740193729463308,0.87094244672509
164,0.832872318276559,0.740219400328587,0.870676933881378
166,0.832533706721211,0.740131385933344,0.871041004230971
168,0.832961546997225,0.740518893756846,0.871092167963533
170,0.832751058733089,0.74083550109529,0.871220346577739
